symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration,entry_tag,exit_reason
SBIN,2019-08-30,273.85,2019-09-17,285.0,4.07,10,Oversold-Decel,ExitReason.ST_CROSS
SBIN,2019-09-20,301.7,2019-11-14,306.95,1.74,34,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.PRT_ST_CROSS
SBIN,2020-03-31,196.85,2020-04-21,188.0,-4.5,11,Oversold-Decel,ExitReason.CTS_NEAR_MISS_ROLLOVER
SBIN,2021-03-26,357.2,2021-05-05,356.5,-0.2,24,Oversold-Decel,ExitReason.ST_CROSS
SBIN,2022-06-28,464.25,2022-07-13,487.75,5.06,11,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
SBIN,2023-03-24,505.35,2023-04-21,545.0,7.85,16,Oversold-Decel,ExitReason.ST_CROSS
SBIN,2023-08-18,572.95,2023-11-02,571.1,-0.32,51,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
SBIN,2025-01-24,744.15,2025-04-02,772.3,3.78,45,Oversold-Decel,ExitReason.ST_CROSS
SBIN,2026-05-25,969.6,2026-06-05,977.7,0.84,8,SavgolCTS Trend-Pullback,End of Data (Open Trade)
SUNPHARMA,2019-02-07,434.9,2019-02-20,418.0,-3.89,9,SavgolCTS Trend-Pullback,ExitReason.ST_CROSS
SUNPHARMA,2019-06-24,383.45,2019-07-05,393.5,2.62,9,SavgolCTS Trend-Pullback,ExitReason.ST_CROSS
SUNPHARMA,2019-09-11,422.2,2019-10-31,429.6,1.75,32,SavgolCTS Flow-Momentum,ExitReason.ST_CROSS
SUNPHARMA,2020-04-07,417.35,2020-04-29,476.0,14.05,14,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.CWC_SLOPE_EARLY_RELEASE
SUNPHARMA,2022-06-14,825.05,2022-07-20,884.7,7.23,26,Oversold-Decel,ExitReason.PRT_ST_CROSS
SUNPHARMA,2023-03-09,952.7,2023-04-05,985.0,3.39,17,Oversold-Decel,ExitReason.ST_CROSS
SUNPHARMA,2023-05-24,952.15,2023-06-09,984.0,3.35,12,Oversold-Decel,ExitReason.ST_CROSS
SUNPHARMA,2023-11-02,1132.85,2024-03-18,1548.25,36.67,91,SavgolCTS CDVL-CTS,ExitReason.STRUCTURAL_CLIMAX
SUNPHARMA,2025-02-12,1693.85,2025-03-27,1751.0,3.37,29,Oversold-Decel,ExitReason.ST_CROSS
SUNPHARMA,2026-02-04,1704.4,2026-02-16,1697.5,-0.4,8,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
SUNPHARMA,2026-04-27,1733.5,2026-05-26,1830.0,5.57,20,Oversold-Decel,ExitReason.CTS_NEAR_MISS_ROLLOVER
TCS,2019-10-10,2004.45,2019-11-11,2135.0,6.51,20,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
TCS,2022-05-17,3451.6,2022-06-13,3290.0,-4.68,19,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
TCS,2022-07-26,3115.9,2022-08-17,3385.1,8.64,13,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
